ID Cliente,Nome Completo,Gênero,Data de Nascimento,E-mail,Telefone,Endereço,Cidade,Estado,CEP
1,Maria Silva,Feminino,1980-05-12,maria.silva@email.com,(11) 1234-5678,"Rua das Flores, 123",São Paulo,SP,01234-567
2,João Santos,Masculino,1985-08-22,joao.santos@email.com,(11) 9876-5432,"Avenida Principal, 456",Guarulhos,SP,21098-765
3,Ana Pereira,Feminino,1990-03-17,ana.pereira@email.com,(11) 7654-3210,"Travessa da Praça, 78",Osasco,SP,98765-432
4,Pedro Rocha,Masculino,1977-12-04,pedro.rocha@email.com,(11) 2345-6789,"Rua da Amizade, 56",Santo André,SP,34567-890
5,Luísa Ferreira,Feminino,1988-09-29,luisa.ferreira@email.com,(11) 8765-4321,"Praça Central, 234",Diadema,SP,54321-876
6,André Almeida,Masculino,1992-02-15,andre.almeida@email.com,(11) 3456-7890,"Avenida das Palmeiras, 765",Mauá,SP,12345-678
7,Laura Santos,Feminino,1987-06-10,laura.santos@email.com,(11) 8901-2345,"Rua do Comércio, 321",Itaquaquecetuba,SP,67890-123
8,Carlos Oliveira,Masculino,1983-11-30,carlos.oliveira@email.com,(11) 5678-9012,"Alameda das Rosas, 987",Taboão da Serra,SP,23456-789
9,Sofia Costa,Feminino,1979-08-19,sofia.costa@email.com,(11) 4321-8765,"Travessa dos Pinheiros, 543",Barueri,SP,89012-345
10,Daniel Ferreira,Masculino,1986-04-03,daniel.ferreira@email.com,(11) 6789-0123,"Rua da Praia, 1234",São Bernardo do Campo,SP,45678-901
11,Juliana Martins,Feminino,1995-01-25,juliana.martins@email.com,(11) 9012-3456,"Avenida Central, 7890",Mogi das Cruzes,SP,56789-012
12,Eduardo Lima,Masculino,1975-07-05,eduardo.lima@email.com,(11) 1234-5678,"Praça da Independência, 234",São Caetano do Sul,SP,89012-345
13,Maria Oliveira,Feminino,1984-10-12,maria.oliveira@email.com,(11) 9876-5432,"Rua das Palmeiras, 5678",Santana de Parnaíba,SP,12345-678
14,Rafael Costa,Masculino,1989-03-22,rafael.costa@email.com,(11) 7654-3210,"Avenida dos Girassóis, 123",São José dos Campos,SP,23456-789
